full_name,description,stars,forks,language,url,updated_year,last_updated,created_year,created_at,watchers_count,size,license,languages,primary_language,topics,readme_snippet,Manual_Category,Comment,Unnamed: 20,manual_normalized,DeepSeek_Category,DeepSeek_Correct,DeepSeek_Wrong
ndjstn/tinyllm,A neural network of LLMs - self-improving multi-agent system using small language models,0,0,Python,https://github.com/ndjstn/tinyllm,2025,2025-12-25T02:25:20+00:00,2025,2025-12-19T00:32:44+00:00,0,4220,MIT License,"{'Python': 5554605, 'Shell': 10499, 'Jupyter Notebook': 9525, 'Makefile': 5836, 'Dockerfile': 3014}",Python,"['ai', 'langchain', 'langgraph', 'llm', 'local-llm', 'machine-learning', 'multi-agent', 'neural-network', 'ollama', 'prompt-engineering', 'pydantic', 'python', 'self-improving-ai']","TinyLLM Performance Gains:- 3-7x throughput improvement potential (parallel execution ready)
- 40-60% latency reduction (incremental tracking, lock-free metrics)
- <0.1ms per message add (from O(n) recalculation)
- <30% transaction overhead (minimal impact on performance)",Framework,,,other,llm-based agentic system,False,True
theshoaibshafique/Coding_Assisitant_RAG,"Utilizing LlamaIndex and Ollama, this project builds an intelligent agent capable of reading and generating code. With a provided API documentation and Code Implementation, the AI can generate new code, streamlining the development process. 🌟👨‍💻",1,0,Python,https://github.com/theshoaibshafique/Coding_Assisitant_RAG,2024,2024-07-01T00:50:54+00:00,2024,2024-06-30T17:33:53+00:00,1,102,,{'Python': 4834},Python,"['code-generation', 'llm', 'rag']",Coding Assistant RAG This project leverages the power of multiple local language models (LLMs) using LlamaIndex and Ollama to create an intelligent agent capable of reading and generating code. 🌟,Other,,,other,llm-based agentic system,False,True
takazawasorato/multi-llm-agent,複数LLMを統合した網羅的調査エージェントシステム - Multi-LLM integration system with comprehensive search and response aggregation,0,0,Python,https://github.com/takazawasorato/multi-llm-agent,2025,2025-12-25T06:52:46+00:00,2025,2025-12-22T05:15:25+00:00,0,39,,{'Python': 84288},Python,[],Multi-LLM Agent System 複数のLLM（Large Language Model）を統合し、網羅的な調査と回答統合を行うエージェントシステムです。,"Language not english, better to exclude",,,other,llm-based agentic system,False,True
Ian-Kwach/Intelligent-LLM-Agent-for-Automated-Human-Activity-Simulation-with-CUE-System,,0,0,Python,https://github.com/Ian-Kwach/Intelligent-LLM-Agent-for-Automated-Human-Activity-Simulation-with-CUE-System,2025,2025-03-31T11:09:36+00:00,2025,2025-03-31T10:45:02+00:00,0,31,,"{'Python': 33046, 'HTML': 2989, 'CSS': 700}",Python,[],"Intelligent LLM Agent for Automated Human Activity Simulation with CUE System Project Overview:
This project aims to develop an intelligent Large Language Model (LLM) agent that automates the simulation of complex human activities within the Cluster User Emulator (CUE) system. The agent leverages prompt engineering to dynamically generate and execute program code, utilizing both static and dynamic function calls through the CUE API. The goal is to improve efficiency, adaptability, and scalability for tasks such as debugging, system administration, and behavioral simulations.",Other,,,other,llm-based agentic system,False,True
KushG-co/webscraping-ai-agent,🤖 Web scraping system with AI-powered instruction parsing using Playwright & LLMs,0,0,Python,https://github.com/KushG-co/webscraping-ai-agent,2025,2025-09-25T06:16:37+00:00,2025,2025-09-25T06:16:34+00:00,0,25,,"{'Python': 65572, 'Shell': 2097}",Python,[],"🤖 Web Scraping + AI Agent System A powerful web scraping system that combines Playwright browser automation with AI-powered instruction parsing using LLMs. Built for hackathon MVP development with modular, extensible architecture.",Other,,,other,llm-based agentic system,False,True
TrevinoParker7/Agentic_AI_LLM_Top_10_OWASP_Checker_With_AWS,,0,0,Python,https://github.com/TrevinoParker7/Agentic_AI_LLM_Top_10_OWASP_Checker_With_AWS,2025,2025-10-21T15:56:46+00:00,2025,2025-10-21T15:30:02+00:00,0,319,,"{'Python': 42252, 'Shell': 12360, 'Makefile': 3021}",Python,[],Agentic AI & LLM Top 10 OWASP Checker With AWS A comprehensive security auditing tool for AWS Bedrock that combines traditional cloud security best practices with cutting-edge Agentic AI security capabilities. Perfect for organizations adopting Agentic AI while maintaining enterprise security standards.,Other,,,other,llm-based agentic system,False,True
GEMIT-Institute-of-HS-Niederrhein/DataSpark,"This repository showcases an automation demo for building AI agents with n8n and LangChain. It includes agentic workflows, LLM integration via API or self-hosted models, and a Docker setup for quick testing. A bio-economy use case demonstrates automated idea evaluation using agents querying hosted and online data.",1,0,Python,https://github.com/GEMIT-Institute-of-HS-Niederrhein/DataSpark,2025,2025-11-12T10:56:59+00:00,2025,2025-11-10T11:53:00+00:00,1,34,,"{'Python': 13431, 'Shell': 2194}",Python,[],DataSpark An automation demo showcasing AI agent creation and interaction using n8n and LangChain. Build agentic workflows and integrate LLMs via API or self-hosted models. The entire demo runs in Docker for easy startup and testing.,LLM-Based agentic system,,,llm-based agentic system,other,False,True
AtikaAnjum/Agentic-Chatbot,"This is an intelligent safety chatbot designed to assist users in matters of personal safety and emergency guidance. It acts as a digital safety companion that not only responds empathetically but also provides real-world help when needed.  The system can identify user intent, offer safety tips, and locate the nearest safe places such as hospitals.",0,0,Python,https://github.com/AtikaAnjum/Agentic-Chatbot,2025,2025-11-09T11:49:29+00:00,2024,2024-07-10T16:23:12+00:00,0,7937,,"{'Python': 46241, 'Dart': 35138, 'CMake': 9536, 'C++': 5459, 'Swift': 1677, 'HTML': 1214, 'Shell': 992, 'Java': 746, 'C': 709, 'Kotlin': 127}",Python,"['agent', 'agent-tools', 'chromadb', 'deepseek', 'fastapi', 'google-maps-api', 'intent-classification', 'llm', 'rag', 'hugging-face-embeddings', 'langchain-python']","Agentic chatbot The app combines a Flutter frontend for a user-friendly mobile experience with a powerful AI-powered backend that understands user queries, identifies intent, and responds empathetically. It can provide practical assistance such as locating nearby hospitals, police stations, or safe spaces, and helps users report incidents when needed.
The AI uses a Retrieval-Augmented Generation (RAG) approach with a structured knowledge base to deliver accurate safety information. Overall, the app integrates technology and research-based design to create a reliable digital safety companion.For more details about the backend architecture, and tools, please refer to the README in the backend folder.",other,,,other,llm-based agentic system,False,True
PeymanKh/statful-agent-template,Template for llm project using langgraph stateful agent ,0,0,Python,https://github.com/PeymanKh/statful-agent-template,2025,2025-07-11T18:22:33+00:00,2025,2025-07-11T18:07:49+00:00,0,7,,{'Python': 7930},Python,[],"Langgraph agent with tool This is production implementation of an LLM with tools.
This repo can be used as a reference for more complex LLM-based applications.",LLM-Based agentic system,,,llm-based agentic system,other,False,True
BayRockLabs/api-agent-scaffolding,"This boilerplate provides a modern, scalable foundation for deploying a Large Language Model (LLM) Agent as a web service. It follows a decoupled architecture, separating the web interface from the core AI logic, which is the standard approach for production-ready AI applications.",0,0,Python,https://github.com/BayRockLabs/api-agent-scaffolding,2025,2025-11-28T14:20:17+00:00,2025,2025-11-21T10:02:51+00:00,0,64,MIT License,"{'Python': 127670, 'Shell': 2196}",Python,[],"Enterprise AI Agent Platform bash
git clone <your-repo>
cd enterprise-ai-agent
./scripts/setup.sh",LLM-Based agentic system,,,llm-based agentic system,other,False,True
jonnagel/ma_llm, Multi-Agent LLM Framework for Bias Mitigation & Decision Risk Reduction,0,0,Python,https://github.com/jonnagel/ma_llm,2025,2025-06-10T17:59:10+00:00,2025,2025-06-10T17:18:01+00:00,0,16,,{'Python': 11711},Python,[],Multi-Agent LLM Framework for Bias Mitigation & Decision Risk Reduction This repository is an active work in progress. The code is provided as-is and is not yet considered production-ready.,LLM-Based agentic system,,,llm-based agentic system,other,False,True
AI4Wings/sleepyTesting,A LLM driven UI testing framework. Using multi-agent to plan and execute mobile UI tasks.,2,1,Python,https://github.com/AI4Wings/sleepyTesting,2025,2025-01-09T04:08:20+00:00,2024,2024-12-24T06:21:25+00:00,2,112,,{'Python': 73743},Python,[],sleepyTesting A LLM-driven UI testing framework that utilizes multi-agent systems to plan and execute mobile/web UI tasks.,LLM-Based agentic system,,,llm-based agentic system,other,False,True
Graph-COM/CKA-Agent,"Official Implementation of the CKA-Agent, ""The Trojan Knowledge: Bypassing Commercial LLM Guardrails via Harmless Prompt Weaving and Adaptive Tree Search"".",127,32,Python,https://github.com/Graph-COM/CKA-Agent,2025,2025-12-22T03:21:58+00:00,2025,2025-11-26T15:05:43+00:00,127,357,GNU Affero General Public License v3.0,"{'Python': 1055500, 'Shell': 2568}",Python,"['jailbreak', 'llms', 'red-teaming', 'safety']","CKA-Agent: Bypassing LLM Guardrails via Harmless Prompt Weaving and Adaptive Tree Search CKA-Agent demonstrates consistent high attack success rates against the latest frontier models, includingGPT-5.2,Gemini-3.0-Pro, andClaude-Haiku-4.5. The results are summarized below:",LLM-Based agentic system,,,llm-based agentic system,other,False,True
tegridydev/multi-agent-secops-llm,This project is a multi-agent security framework that utilizes multiple LLM models to analyze and generate comprehensive security briefs.,7,0,Python,https://github.com/tegridydev/multi-agent-secops-llm,2024,2024-05-17T02:22:51+00:00,2024,2024-05-17T01:43:43+00:00,7,11,MIT License,{'Python': 7830},Python,"['ai', 'llm', 'local', 'localllm', 'ollama', 'secops', 'security']",Multi-Agent Security Framework This project is a multi-agent security framework that utilizes multiple LLM models to analyze and generate comprehensive security briefs. It leverages local LLM models via the Ollama API and can optionally use Together API. The framework reads.txtfiles from a specified directory or a specific file provided via command-line arguments and generates a final summary brief.,ramework,,,other,llm-based agentic system,False,True
Cellous/AutoMed-AG2-Starter,"The agents communicate through a coordinator, demonstrating agent-to-agent interaction and integration with an LLM (mock provider for portability). The output conversation provides structured healthcare guidance while ending with a clear disclaimer (“educational demo only — not medical advice”)",0,0,Python,https://github.com/Cellous/AutoMed-AG2-Starter,2025,2025-09-24T03:23:44+00:00,2025,2025-09-23T03:58:18+00:00,0,623,MIT License,{'Python': 5923},Python,[],AutoMed-AG2-Starter Educational demo project based onAG2 (AutoGen)concepts.Built for DeVry University / IBM Skills Network guided project.⚠️ Disclaimer: This is not medical advice — for educational use only.,LLM-Based agentic system,,,llm-based agentic system,other,False,True
shivamr021/ollama-langchain-agents,"A collection of intelligent AI agents built using Ollama, LangChain, and local LLMs — including chatbots, voice assistants, web scrapers, document readers, and custom tools. No APIs required. Fully offline.",8,3,Python,https://github.com/shivamr021/ollama-langchain-agents,2025,2025-07-23T15:56:05+00:00,2025,2025-07-22T19:38:34+00:00,8,17,MIT License,{'Python': 18532},Python,"['ai-agents', 'chatbot', 'faiss', 'langchain', 'langchain-agents', 'llm-memory', 'local-llm', 'ollama', 'open-source', 'pdf-summarizer', 'python', 'streamlit', 'voice-assistant', 'web-scraper']","🧠 AI Agent Projects with Ollama + LangChain This repository showcases my hands-on projects while learning aboutAI AgentsusingLangChain,Ollama, and Python. It includes both minimal setups and advanced interactive applications that demonstrate real-world agent use cases like memory handling, voice interaction, and local LLM inference.",Collection,,,other,llm-based agentic system,False,True
ffreemt/lmtr-agents,"Various llm agents (agent_chat, agent_tr, agent_ref, agent_imp, agent_comb) for translation",0,0,Python,https://github.com/ffreemt/lmtr-agents,2024,2024-08-10T07:35:32+00:00,2024,2024-07-22T08:26:06+00:00,0,21,MIT License,"{'Python': 13851, 'Shell': 142}",Python,[],"lmtr-agents Heavily based on the templates of Andrew Ng's translation agent, intended for use in https://llmtool.dattw.eu.org 's last boxes.",Collection,,,other,llm-based agentic system,False,True
Killianx256/LLMs-to-Agentic-AI,,1,0,Python,https://github.com/Killianx256/LLMs-to-Agentic-AI,2025,2025-04-06T09:55:27+00:00,2025,2025-04-05T10:56:42+00:00,1,52007,,"{'Python': 34632, 'Dockerfile': 694}",Python,[],"📹 LLMs-to-Agentic-AI: Content Creation and Publishing Automation Welcome toLLMs-to-Agentic-AI, our innovative solution designed during the ""From LLMs to Agentic AI"" hackathon organized at ESSEC by Kryptosphere and Utopia. This project automates the creation and publication of high-quality contents tailored for businesses to effortlessly enhance their presence across social media platforms.",Other,,,other,llm-based agentic system,False,True
karthikeyapranav/Agentic_RAG_Chatbot_MCP,Build an agent-based Retrieval-Augmented Generation (RAG) chatbot that can answer user questions using uploaded documents of various formats. Your architecture must follow an agentic structure and should incorporate Model Context Protocol (MCP) as the mechanism for communication between agents and/or agents ↔ LLMs.,0,0,Python,https://github.com/karthikeyapranav/Agentic_RAG_Chatbot_MCP,2025,2025-07-23T17:14:46+00:00,2025,2025-07-23T17:05:11+00:00,0,53554,,"{'Python': 35744, 'JavaScript': 8841, 'HTML': 5023, 'CSS': 2147}",Python,[],"Agentic RAG Chatbot for Multi-Format Document QA Empowering LLMs with Your Data, Agent-Style!
Welcome to the Agentic RAG Chatbot, a powerful application designed to answer your questions using information from your own diverse documents. This project leverages a modular, agent-based architecture and a custom communication protocol (MCP) to provide accurate and contextually relevant responses.",Other,,,other,llm-based agentic system,False,True
DasunThathsara/multi-agent-application-builder,Interactive Streamlit interface for a LangGraph-based multi-agent system that builds simple applications,0,0,Python,https://github.com/DasunThathsara/multi-agent-application-builder,2025,2025-12-06T19:37:12+00:00,2025,2025-12-06T18:25:16+00:00,0,79,,"{'Python': 15256, 'JavaScript': 13801, 'CSS': 6659, 'HTML': 1042}",Python,"['application-builder', 'groq-cloud', 'langgraph', 'llm', 'multiagent']",Project Structure This project is a multi-agent developer assistant built withLangGraphand exposed through aStreamlitweb UI.,LLM-Based agentic system,,,llm-based agentic system,other,False,True
libraryofcelsus/Aetherius_AI_Assistant,"A completely private, locally-operated Ai Assistant/Chatbot/Sub-Agent Framework with realistic Long Term Memory and thought formation using Open Source LLMs. Qdrant is used for the Vector DB.",310,43,Python,https://github.com/libraryofcelsus/Aetherius_AI_Assistant,2024,2024-09-06T16:48:36+00:00,2023,2023-04-03T17:40:23+00:00,310,3243,Other,"{'Python': 1383950, 'Jupyter Notebook': 226502, 'Batchfile': 5606, 'Shell': 528}",Python,"['ai', 'assistant', 'chatbot', 'customizable', 'gpt-4', 'long-term-memory', 'companion', 'voice-assistant', 'gpt', 'research', 'research-tool', 'webscrape', 'oobabooga', 'qdrant', 'autonomous', 'multi-agent', 'discord', 'gpt-vision', 'agent']",Aetherius Ai Assistant Version .05 of the Aetherius Ai Assistant/Agent byLibraryofCelsus.com,LLM-Based agentic system,,,llm-based agentic system,other,False,True
Prajwal-2022/llm-devops-auto-reviewer,"LLM DevOps Auto-Reviewer is an AI-powered tool that reviews DevOps config files (Terraform, YAML, JSON) using local LLMs like Mistral or LLaMA via Ollama. It analyzes your code, suggests optimizations, and detects issues all in a secure, local setup using LangGraph, LangChain, Streamlit and Multi agent communication.",0,0,Python,https://github.com/Prajwal-2022/llm-devops-auto-reviewer,2025,2025-08-10T10:41:46+00:00,2025,2025-08-07T01:56:21+00:00,0,382,,{'Python': 4246},Python,[],"🤖 LLM DevOps Auto-Reviewer An AI-powered local tool toanalyze,review, andcritiqueDevOps configuration files (Terraform, YAML, JSON, etc.) using LLMs like Mistral or LLaMA viaOllama— all on your own machine.",LLM-Based agentic system,,,llm-based agentic system,other,False,True
brendenrossin/collectivelore,Agentic LLM system to generate monthly stories with user feedback and daily posts on twitter and bluesky.,0,0,Python,https://github.com/brendenrossin/collectivelore,2024,2024-12-18T00:35:28+00:00,2024,2024-10-23T23:24:11+00:00,0,61,,"{'Python': 63928, 'Procfile': 30}",Python,[],"Interactive Storyline Bot This project is an interactive storyline bot that generates and posts tweets based on user engagement and predefined story phases. The bot uses OpenAI's API to generate tweets and analyze comments, and it logs metrics and top examples for further analysis.",Incorrect Link,,,other,llm-based agentic system,False,True
monu808/Digital_Ocean_Assignment,"An intelligent, prompt-driven Email Productivity Agent that processes your inbox using LLMs to automate email categorization, action-item extraction, and draft generation.",0,0,Python,https://github.com/monu808/Digital_Ocean_Assignment,2025,2025-11-23T19:08:46+00:00,2025,2025-11-21T08:43:00+00:00,0,68,,"{'Python': 100512, 'PowerShell': 4138}",Python,[],"Email Productivity Agent 📧🤖 An intelligent, prompt-driven Email Productivity Agent that processes your inbox using LLMs to automate email categorization, action-item extraction, and draft generation.",Other,,,other,llm-based agentic system,False,True
firelink-data/drive,"🚀✨ DRIVE, the tool for creating and managing  autonomous LLM agents; implemented using Apache Kafka, Docker, and LangChain.",8,0,Python,https://github.com/firelink-data/drive,2024,2024-05-29T16:22:21+00:00,2024,2024-01-23T15:09:07+00:00,8,74,MIT License,"{'Python': 27211, 'Shell': 596, 'Dockerfile': 399, 'Makefile': 288, 'PowerShell': 188}",Python,"['autonomous-agents', 'kafka', 'langchain', 'llm', 'llm-agent', 'chatgpt', 'docker', 'gpt', 'openai', 'python', 'data-engineering', 'artificial-intelligence', 'mlops', 'ai-agent', 'ai']","🔎 Overview driveenables you to create and manage a fully autonomous- and highly customizable LLM agentfarm. It is built using Apache Kafka, Docker, and LangChain, which allows for extremely robust and scalable communication between agents.",LLM-Based agentic system,,,llm-based agentic system,other,False,True
fashion-ai-dev/LLM-Agents-MOOC-Hackathon,,0,0,Python,https://github.com/fashion-ai-dev/LLM-Agents-MOOC-Hackathon,2025,2025-11-21T19:54:19+00:00,2024,2024-11-04T15:27:38+00:00,0,803,,"{'Python': 96925, 'TypeScript': 65735, 'HTML': 4043, 'SCSS': 2374, 'Dockerfile': 439, 'JavaScript': 81}",Python,[],LLM AGENTS - Dockerized Setup This repository contains two projects: abackend(FastAPI) and afrontend(React with Vite). Both are configured to run together using Docker Compose.,Other,,,other,llm-based agentic system,False,True
anciri/LLM_Agent_Personal,,0,0,Python,https://github.com/anciri/LLM_Agent_Personal,2023,2023-07-23T14:22:00+00:00,2023,2023-07-23T14:21:59+00:00,0,6,,{'Python': 20698},Python,[],"Multi-modal Agent Starter Create a cloud-hosted LLM Agent with custom personality, multi-modal tools, and memory.",Other,,,other,llm-based agentic system,False,True
shivDroid/SQL-Database-AI-Agents,LLM-Powered SQL Database Agents with LangGraph | Agentic AI ,0,0,Python,https://github.com/shivDroid/SQL-Database-AI-Agents,2025,2025-01-16T18:30:20+00:00,2025,2025-01-16T18:14:18+00:00,0,4531,,"{'Python': 5949318, 'PowerShell': 9033, 'Shell': 3151}",Python,[],SQL-Database-AI-Agents,LLM-Based agentic system,No full implementation ,,llm-based agentic system,other,False,True
KartikVashishta/MultiAgentDiplomaticDebate,"A multi-agent, LLM-powered system that simulates diplomatic debates among multiple countries, culminating in scored outcomes.",1,0,Python,https://github.com/KartikVashishta/MultiAgentDiplomaticDebate,2025,2025-01-20T02:19:32+00:00,2025,2025-01-19T17:20:14+00:00,1,183,MIT License,{'Python': 159786},Python,[],"Diplomatic Debate Simulation A multi-agent, LLM-driven simulation for orchestrating diplomatic debates among different countries. EachCountryAgentresponds with official statements, while aJudgeAgentevaluates each round and delivers a final verdict. The system is orchestrated end-to-end by aDebateOrchestrator, usingAgentScopeto manage messaging among agents.",Other,,,other,llm-based agentic system,False,True
shubh2020cs157/AgenticFlow,"A production-ready, event-driven orchestration platform that bridges deterministic workflows with non-deterministic agentic systems. Features visual workflow builder, LLM-powered agents, human-in-the-loop checkpoints, and complete observability.",0,0,Python,https://github.com/shubh2020cs157/AgenticFlow,2025,2025-12-15T20:27:31+00:00,2025,2025-12-15T20:25:21+00:00,0,156,,"{'Python': 207168, 'TypeScript': 50846, 'Shell': 7021, 'Makefile': 5415, 'CSS': 3554, 'Dockerfile': 1993, 'JavaScript': 605, 'Mako': 510}",Python,[],"AgenticFlow A production-ready, event-driven orchestration platform that bridges deterministic workflows with non-deterministic agentic systems. AgenticFlow enables building complex workflows that combine traditional DAG-based execution with LLM-powered agents, human-in-the-loop checkpoints, and complete observability.",LLM-Based agentic system,,,llm-based agentic system,other,False,True
Gao2546/LLM_Chatbot_With_Agent,,0,0,Python,https://github.com/Gao2546/LLM_Chatbot_With_Agent,2025,2025-12-25T12:30:38+00:00,2025,2025-11-29T12:21:44+00:00,0,698,,"{'Python': 368221, 'TypeScript': 281185, 'HTML': 244295, 'JavaScript': 220111, 'CSS': 146763, 'Shell': 89556, 'Jupyter Notebook': 80948, 'Dockerfile': 8531, 'Batchfile': 2200}",Python,[],"LLM Chatbot With Agent This project implements a Large Language Model (LLM) based chatbot with agent capabilities. It includes features for file management, web browsing, document processing, and integration with various AI models and tools.",Other,,,other,llm-based agentic system,False,True
uchokoro/KodeCamp-task-grader,"Agentic AI–powered CLI and library for grading KodeCamp task submissions using LangChain, LangGraph, and local LLMs via Ollama.",1,1,Python,https://github.com/uchokoro/KodeCamp-task-grader,2025,2025-12-10T09:23:53+00:00,2025,2025-11-12T21:42:31+00:00,1,242,MIT License,{'Python': 112189},Python,[],KodeCamp Task Grader An AI-powered CLI tool for automated grading and evaluation of KodeCamp promotional tasks using LLM-based assessment with customizable rubrics.,Other,,,other,llm-based agentic system,False,True
